,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4330,0.373,0.886,1,-5.138,1,0.0402,0.000404,0.0663,0.252,0.328,164.137,audio_features,61cKoNyxgq4coMLGL2ii4A,spotify:track:61cKoNyxgq4coMLGL2ii4A,https://api.spotify.com/v1/tracks/61cKoNyxgq4coMLGL2ii4A,https://api.spotify.com/v1/audio-analysis/61cKoNyxgq4coMLGL2ii4A,217182,4
4331,0.499,0.809,5,-8.751,1,0.0344,0.00459,0.416,0.224,0.168,140.038,audio_features,4pWlOwck0KXRHgXAtAa12b,spotify:track:4pWlOwck0KXRHgXAtAa12b,https://api.spotify.com/v1/tracks/4pWlOwck0KXRHgXAtAa12b,https://api.spotify.com/v1/audio-analysis/4pWlOwck0KXRHgXAtAa12b,206928,4
4332,0.563,0.432,0,-11.43,1,0.0264,0.128,0.00281,0.112,0.15,106.02,audio_features,1VV4Cn1Zsc7v6gTRjvCqfJ,spotify:track:1VV4Cn1Zsc7v6gTRjvCqfJ,https://api.spotify.com/v1/tracks/1VV4Cn1Zsc7v6gTRjvCqfJ,https://api.spotify.com/v1/audio-analysis/1VV4Cn1Zsc7v6gTRjvCqfJ,274827,4
4333,0.386,0.339,9,-10.09,0,0.0374,0.631,0.0,0.109,0.142,95.689,audio_features,2SxPaqZ8FuBV02tSwL7y6g,spotify:track:2SxPaqZ8FuBV02tSwL7y6g,https://api.spotify.com/v1/tracks/2SxPaqZ8FuBV02tSwL7y6g,https://api.spotify.com/v1/audio-analysis/2SxPaqZ8FuBV02tSwL7y6g,289120,4
4334,0.561,0.745,10,-4.824,1,0.0418,0.327,0.0,0.258,0.458,106.046,audio_features,5Ttcj0dFKpTWbPbA8afWhS,spotify:track:5Ttcj0dFKpTWbPbA8afWhS,https://api.spotify.com/v1/tracks/5Ttcj0dFKpTWbPbA8afWhS,https://api.spotify.com/v1/audio-analysis/5Ttcj0dFKpTWbPbA8afWhS,224510,4
4335,0.596,0.873,7,-6.604,1,0.034,0.0018,2.11e-06,0.389,0.78,148.084,audio_features,0BOgOGUvHKVIqFlchaOowo,spotify:track:0BOgOGUvHKVIqFlchaOowo,https://api.spotify.com/v1/tracks/0BOgOGUvHKVIqFlchaOowo,https://api.spotify.com/v1/audio-analysis/0BOgOGUvHKVIqFlchaOowo,196773,4
4336,0.75,0.59,11,-6.575,0,0.0728,0.181,1.61e-05,0.101,0.584,103.961,audio_features,6WTZqt2ghvOxdmXCpGb84Z,spotify:track:6WTZqt2ghvOxdmXCpGb84Z,https://api.spotify.com/v1/tracks/6WTZqt2ghvOxdmXCpGb84Z,https://api.spotify.com/v1/audio-analysis/6WTZqt2ghvOxdmXCpGb84Z,225653,4
4337,0.866,0.784,4,-4.519,0,0.108,0.0167,3.38e-05,0.109,0.779,119.977,audio_features,0ZvAs48ODuP2CNVU6oMomy,spotify:track:0ZvAs48ODuP2CNVU6oMomy,https://api.spotify.com/v1/tracks/0ZvAs48ODuP2CNVU6oMomy,https://api.spotify.com/v1/audio-analysis/0ZvAs48ODuP2CNVU6oMomy,232773,4
4338,0.846,0.405,9,-10.744,0,0.147,0.0422,0.0,0.139,0.476,142.884,audio_features,25I7vbfGyfkNE03EE7Dwwq,spotify:track:25I7vbfGyfkNE03EE7Dwwq,https://api.spotify.com/v1/tracks/25I7vbfGyfkNE03EE7Dwwq,https://api.spotify.com/v1/audio-analysis/25I7vbfGyfkNE03EE7Dwwq,182613,4
4339,0.737,0.585,5,-6.252,1,0.0975,0.186,0.0,0.115,0.693,147.064,audio_features,1dytORtqcfaRkTqPyH2iQy,spotify:track:1dytORtqcfaRkTqPyH2iQy,https://api.spotify.com/v1/tracks/1dytORtqcfaRkTqPyH2iQy,https://api.spotify.com/v1/audio-analysis/1dytORtqcfaRkTqPyH2iQy,181003,4
4340,0.351,0.979,0,-3.621,1,0.132,0.000124,3.46e-06,0.255,0.333,174.734,audio_features,2RgUp8wGi8bpELvHJpRDWD,spotify:track:2RgUp8wGi8bpELvHJpRDWD,https://api.spotify.com/v1/tracks/2RgUp8wGi8bpELvHJpRDWD,https://api.spotify.com/v1/audio-analysis/2RgUp8wGi8bpELvHJpRDWD,199391,4
4341,0.68,0.758,0,-6.222,1,0.0411,0.043,0.00034,0.363,0.849,155.991,audio_features,0FB3Z2myB6k8f4YaPNLyrO,spotify:track:0FB3Z2myB6k8f4YaPNLyrO,https://api.spotify.com/v1/tracks/0FB3Z2myB6k8f4YaPNLyrO,https://api.spotify.com/v1/audio-analysis/0FB3Z2myB6k8f4YaPNLyrO,284720,4
4342,0.288,0.933,9,-4.12,1,0.0898,1.32e-05,0.333,0.356,0.345,167.109,audio_features,5UDLKwnWf824mozRavgsgg,spotify:track:5UDLKwnWf824mozRavgsgg,https://api.spotify.com/v1/tracks/5UDLKwnWf824mozRavgsgg,https://api.spotify.com/v1/audio-analysis/5UDLKwnWf824mozRavgsgg,204250,4
4343,0.648,0.835,9,-6.425,1,0.0369,0.607,0.0352,0.236,0.57,138.103,audio_features,2dSLdLFoCrhx8PpcnNoVQb,spotify:track:2dSLdLFoCrhx8PpcnNoVQb,https://api.spotify.com/v1/tracks/2dSLdLFoCrhx8PpcnNoVQb,https://api.spotify.com/v1/audio-analysis/2dSLdLFoCrhx8PpcnNoVQb,228122,4
